Country,Region,Site,Zone ,Latitude (DD),Longitude (DD),Period,Phase,Start BP,End BP,Radiocarbon Dates (BP),Sourc(es),Table(s) Included,Total Chipped Stone,Total Chert ,Total Obsidian,Total Blade,Total Obstdion/Total Chipped Stone,Blade Ratio (Total Blades/Total Obsidian),Blade Ratio (Total Blades/Total Chipped Stone),P&G Platform,P&G Ratio,Notes,Comments,,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),"9N-8(*8,20)",14.83873889,-89.13519722,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",94,42,52,42,0.553191489,0.807692308,0.446808511,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),9M-19(IV/126),14.84238056,-89.136675,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",126,4,122,86,0.968253968,0.704918033,0.682539683,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),10J-11(IV/80),14.83706667,-89.15036944,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",36,20,16,6,0.444444444,0.375,0.166666667,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11L-7(IV/83),14.83371111,-89.14248889,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",295,54,241,123,0.816949153,0.510373444,0.416949153,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),V.S.(IV/99),14.83348889,-89.14211667,Early Classic,Acbi,1550,1350,,Aoyama (1999),A1,322,322,0,0,0,0,0,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),(IV/99),14.83348889,-89.14211667,Early Classic,Acbi,1550,1350,,Aoyama (1999),A2,734,0,734,464,1,0.632152589,0.632152589,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11L-12(IV/99),14.83348889,-89.14211667,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",208,32,176,79,0.846153846,0.448863636,0.379807692,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11L-15(IV/112),14.83272778,-89.14340278,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",12,4,8,6,0.666666667,0.75,0.5,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11L-15(IV/115),14.833125,-89.145075,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",153,23,130,98,0.849673203,0.753846154,0.640522876,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11K-6(IV/114),14.83518056,-89.14545833,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, ",9,9,0,0,0,0,0,,,From the Vega Physiographic Zone,,,,,,,,,,,
