Country,Region,Site,Zone ,Latitude (DD),Longitude (DD),Period,Phase,Start BP,End BP,Radiocarbon Dates (BP),Sourc(es),Table(s) Included,Total Chipped Stone,Total Chert ,Total Obsidian,Total Blade,Total Obstdion/Total Chipped Stone,Blade Ratio (Total Blades/Total Obsidian),Blade Ratio (Total Blades/Total Chipped Stone),,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 272,K^1,18.03542778,-97.21886667,Early Formative,Purron,4300,3500,n/a,Byers 1967,"1,12",5,2,3,3,0.6,1,0.6,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 272,K,18.03542778,-97.21886667,Early Formative,Purron,4300,3500,n/a,Byers 1967,"1,8",3,1,2,2,0.666666667,1,0.666666667,,,,,,,,,,,,,,
Mexico,Chiapas,Cuauhtemoc,n/a,14.599318,-92.227205,Initial Formative,Barra,3850,3650,N/a,Stark (2016),"Table 2, Supplemental table 2",752,0,752,0,1,0,0,,,,,,,,,,,,,,
Mexico,Chiapas,Paso de la Amada,n/a,14.877735,-92.490777,Initial Formative,Locona,3650,3450,N/a,Stark (2016),"Table 2, Supplemental table 2.","16,755",0,"16,755",n/a,1,n/a,n/a,,,,,,,,,,,,,,
Mexico,Chiapas,Paso de la Amada (other Proveniences),n/a,14.877735,-92.490777,Initial Formative,Locona,3650,3450,N/a,Stark (2016),"Table 2, Supplemental table 2.",5923,0,5923,n/a,1,n/a,n/a,,,,,,,,,,,,,,
Mexico,Chiapas,Cuauhtemoc,n/a,14.599318,-92.227205,Initial Formative,Locona,3650,3450,N/a,Stark (2016),"Table 2, Supplemental table 2.",2126,0,2126,0,1,0,0,,,,,,,,,,,,,,
