Country,Region,Site,Zone ,Latitude (DD),Longitude (DD),Period,Phase,Start BP,End BP,Radiocarbon Dates (BP),Sourc(es),Table(s) Included,Total Chipped Stone,Total Chert ,Total Obsidian,Total Blade,Total Obstdion/Total Chipped Stone,Blade Ratio (Total Blades/Total Obsidian),Blade Ratio (Total Blades/Total Chipped Stone),,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 35e,C,18.44108889,-97.54069722,Classical-Postclassic,Venta Salada,1300,460,n/a,Byers 1967,"1,6,8,10,12",100,41,41,41,0.41,1,0.41,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 255,A,18.38073611,-97.39075833,Classical-Postclassic,Venta Salada,1300,460,n/a,Byers 1967,"1,6,8,12",56,49,7,7,0.125,1,0.125,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,III,18.44056389,-97.21886667,Classical-Postclassic,Venta Salada,1300,460,n/a,Byers 1967,"1,6,8,10,12",17,6,7,7,0.411764706,1,0.411764706,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 35e,B,18.44108889,-97.54069722,Classical-Postclassic,Venta Salada,1300,460,n/a,Byers 1967,"1,6,8,10,12",47,20,24,23,0.510638298,0.958333333,0.489361702,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 35w,3,18.44108889,-97.54069722,Classical-Postclassic,Venta Salada,1300,460,n/a,Byers 1967,"1,6,8,10,12",180,96,56,56,0.311111111,1,0.311111111,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,II,18.44056389,-97.21886667,Classical-Postclassic,Venta Salada,1300,460,n/a,Byers 1967,"1,6,8,10,12",76,14,59,58,0.776315789,0.983050847,0.763157895,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 35w,2,18.44108889,-97.54069722,Classical-Postclassic,Venta Salada,1300,460,n/a,Byers 1967,"1,6,8,10,12",126,70,40,39,0.317460317,0.975,0.30952381,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 35w,1,18.44108889,-97.54069722,Classical-Postclassic,Venta Salada,1300,460,n/a,Byers 1967,"1,6,8,10,12",218,62,143,142,0.655963303,0.993006993,0.651376147,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 367,B,18.08658889,-97.12970556,Classical-Postclassic,Venta Salada,1300,460,n/a,Byers 1967,"1,6,8,10,12",51,11,37,37,0.725490196,1,0.725490196,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,I,18.44056389,-97.21886667,Classical-Postclassic,Venta Salada,1300,460,n/a,Byers 1967,"1,6,8,12",18,12,6,4,0.333333333,0.666666667,0.222222222,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368e,A,18.08658889,-97.12970556,Classical-Postclassic,Venta Salada,1300,460,n/a,Byers 1967,"1,6,8,10,12",64,17,43,42,0.671875,0.976744186,0.65625,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 35e,A,18.44108889,-97.54069722,Classical-Postclassic,Venta Salada,1300,460,n/a,Byers 1967,"1,6,8,10,12",108,29,63,63,0.583333333,1,0.583333333,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 367,A,18.08658889,-97.12970556,Classical-Postclassic,Venta Salada,1300,460,n/a,Byers 1967,"1,8",21,7,14,14,0.666666667,1,0.666666667,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 367,A,18.08658889,-97.12970556,Classical-Postclassic,Venta Salada,1300,460,n/a,Byers 1967,"6,12",7,6,1,0,0.142857143,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368w,A,18.08658889,-97.12970556,Classical-Postclassic,Venta Salada,1300,460,n/a,Byers 1967,"1,6,8,10",32,3,20,19,0.625,0.95,0.59375,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Montanas),IV/25,14.84779167,-89.19600278,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",41,20,21,7,0.512195122,0.333333333,0.170731707,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Montanas),IV/54,14.82085,-89.16321944,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",529,220,309,7,0.584120983,0.022653722,0.013232514,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Montanas),IV/58,14.83486944,-89.17840833,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",17,12,5,1,0.294117647,0.2,0.058823529,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Montanas),IV/60,14.86133056,-89.13934167,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A9,7,0,7,0,1,0,0,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Montanas),IV/64,14.88696389,-89.11916667,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",49,23,26,13,0.530612245,0.5,0.265306122,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Montanas),IV/73,14.88501111,-89.12846667,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",16,8,8,1,0.5,0.125,0.0625,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Faldas),IV/59,14.85220278,-89.16088611,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",58,30,28,18,0.482758621,0.642857143,0.310344828,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Faldas),3P-3(IV/63),14.87221389,-89.12058889,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",100,68,32,29,0.32,0.90625,0.29,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Faldas),IV/77,14.85844167,-89.09949722,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",129,83,46,4,0.356589147,0.086956522,0.031007752,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Rincon del Buey),12D-5(IV/156),14.83198056,-89.18838056,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",9,2,7,3,0.777777778,0.428571429,0.333333333,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Tapescos),13C-1(IV/1),14.83600556,-89.18791389,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",19,3,16,7,0.842105263,0.4375,0.368421053,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),11D-4(IV/2),14.83777222,-89.18577778,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",104,101,3,2,0.028846154,0.666666667,0.019230769,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),Vacent Space(11E-1),14.83821667,-89.14141111,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A8,27,27,0,0,0,0,0,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),1E-6(IV/4),14.84060556,-89.18174444,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A8,15,15,0,0,0,0,0,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),1E-6(IV/158),14.84041111,-89.17964167,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A8,10,10,0,0,0,0,0,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),IV/3,14.83953889,-89.18337778,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A9,36,0,36,4,1,0.111111111,0.111111111,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),1.00E-05(IV/4),14.90616111,-89.18174444,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A9,28,0,28,21,1,0.75,0.75,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),1.00E-05(IV/158),14.84041111,-89.17964167,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A9,30,0,30,24,1,0.8,0.8,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),IV/5,14.84266111,-89.17890833,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",70,21,49,31,0.7,0.632653061,0.442857143,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),10F-1(IV/6),14.84362778,-89.17701667,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",50,19,31,19,0.62,0.612903226,0.38,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),V.S.(IV/7),14.84369167,-89.17620556,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",24,11,13,1,0.541666667,0.076923077,0.041666667,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),V.S(IV/9),14.84498889,-89.173475,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",18,14,4,2,0.222222222,0.5,0.111111111,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),V.S.(IV/10),14.84978056,-89.17701944,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",7,4,3,0,0.428571429,0,0,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),V.S.(IV/11),14.83443611,-89.18541944,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",31,7,24,0,0.774193548,0,0,,,,,,,,,,,,,,
