Country,Region,Site,Zone ,Latitude (DD),Longitude (DD),Period,Phase,Start BP,End BP,Radiocarbon Dates (BP),Sourc(es),Table(s) Included,Total Chipped Stone,Total Chert ,Total Obsidian,Total Blade,Total Obstdion/Total Chipped Stone,Blade Ratio (Total Blades/Total Obsidian),Blade Ratio (Total Blades/Total Chipped Stone),,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368,I,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,1,4,,4,4,1,1,1,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368e,I,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"6,8,10,12",36,24,1,0,0.027777778,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368,H,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,1,7,1,6,6,0.857142857,1,0.857142857,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368e,H,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"6,8,10,12",23,17,1,,0.043478261,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368,G,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,1,8,,8,8,1,1,1,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368e,G,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"6,8,10,12",48,45,1,0,0.020833333,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368,F,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,1,11,,11,11,1,1,1,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368e,F,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"6,8,10,12",48,47,4,,0.083333333,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368,E,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,1,12,,12,12,1,1,1,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 386e,E,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"6,8,10,12",51,46,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 367,D^2,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"1,6,10,12",18,3,13,13,0.722222222,1,0.722222222,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 367,D^1,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"1,6,8,10,12",46,16,27,27,0.586956522,1,0.586956522,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 367,C,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"1,6,8,10,12",39,10,27,27,0.692307692,1,0.692307692,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368,D,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,1,1,,1,1,1,1,1,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368e,D,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"6,8,10,12",16,12,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 272,I,18.03542778,-97.21886667,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"1,12",4,1,3,3,0.75,1,0.75,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368,C^2,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,1,2,,2,2,1,1,1,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368e,C^2,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"6,12",13,13,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368,C^1,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,1,6,1,5,5,0.833333333,1,0.833333333,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368e,C^1,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"6,8,12",25,25,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 272,H,18.03542778,-97.21886667,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"1,10",14,,13,12,0.928571429,0.923076923,0.857142857,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368e,C,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"1,6,8,10,12",36,13,20,17,0.555555556,0.85,0.472222222,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 272,B,18.03542778,-97.21886667,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,6,1,1,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368w,D,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"1,6,8,12",9,5,4,4,0.444444444,1,0.444444444,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 272,G,18.03542778,-97.21886667,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"8,12",17,17,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368,B,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,6,1,1,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368e,B,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"8,12",18,18,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368w,C,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"1,12",10,8,2,2,0.2,1,0.2,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368w,B,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"1,8",3,2,1,1,0.333333333,1,0.333333333,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 218-11,G,18.07303333,-97.14956389,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"1,6",4,1,3,3,0.75,1,0.75,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368,B^1,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,6,4,2,2,0,0.5,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 218-11,F,18.07303333,-97.14956389,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"1,10",4,,3,3,0.75,1,0.75,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368e,B^1,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"1,8,10,12",55,17,34,34,0.618181818,1,0.618181818,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 204,AB,18.60287778,-97.40244444,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"1,6,8,10,12",102,75,10,9,0.098039216,0.9,0.088235294,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 368w,B^1,18.08658889,-97.12970556,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"1,6",7,,7,6,1,0.857142857,0.857142857,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 218-6,G,18.07303333,-97.14956389,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"1,12",36,35,1,1,0.027777778,1,0.027777778,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 218-11,E,18.07303333,-97.14956389,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"1,6,12",5,2,3,3,0.6,1,0.6,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 218-10,C^2,18.07303333,-97.14956389,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"6,8,12",4,4,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 218-6,F,18.07303333,-97.14956389,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,12,2,2,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 218-11,D,18.07303333,-97.14956389,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"1,6,8",13,7,6,6,0.461538462,1,0.461538462,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 218-10,C^1,18.07303333,-97.14956389,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"6,8,12",15,15,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 218-10,C,18.07303333,-97.14956389,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"6,8,10,12",25,23,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 218-10,B^1,18.07303333,-97.14956389,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"8,12",7,7,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 218-10,B,18.07303333,-97.14956389,Middle Formative-Late Formative,Santa Maria,2900,200,n/a,Byers 1967,"8,12",9,9,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 218-11,C,18.07303333,-97.14956389,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,1,3,0,3,3,1,1,1,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 218-11,B,18.07303333,-97.14956389,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"1,6",10,6,4,4,0.4,1,0.4,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 218-6,E,18.07303333,-97.14956389,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"1,8,10,12",7,4,1,1,0.142857143,1,0.142857143,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 218-6,D,18.07303333,-97.14956389,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"8,10,12",4,2,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,VII,18.44056389,-97.21886667,Middle Formative-Late Formative,Santa Maria,2900,2200,n/a,Byers 1967,"1,6,8,10,12",97,77,3,2,0.030927835,0.666666667,0.020618557,,,,,,,,,,,,,,
Mexico,Morelos,Chalcatzingo,PC-1d,18.67669444,-98.77031667,Midle Formative,Cantera,2650,2450,n/a,Hirth in Cyphers and Hirth (2008),"2,9.",1870,334,1536,942,0.821390374,0.61328125,0.503743316,,,,,,,,,,,,,,
Mexico,Morelos,Chalcatzingo,S39,18.67669444,-98.77031667,Midle Formative,Cantera,2650,2450,n/a,Hirth in Cyphers and Hirth (2008),"2,9.",622,191,431,82,0.692926045,0.19025522,0.131832797,,,,,,,,,,,,,,
Mexico,Morelos,Chalcatzingo,T9a,18.67669444,-98.77031667,Midle Formative,Cantera,2650,2450,n/a,Hirth in Cyphers and Hirth (2008),"2,9.",143,53,90,30,0.629370629,0.333333333,0.20979021,,,,,,,,,,,,,,
Mexico,Morelos,Chalcatzingo,T9b,18.67669444,-98.77031667,Midle Formative,Barranca,3050,2650,n/a,Hirth in Cyphers and Hirth (2008),"2,9.",167,40,127,46,0.760479042,0.362204724,0.275449102,,,,,,,,,,,,,,
Mexico,Morelos,Chalcatzingo,T11,18.67669444,-98.77031667,Midle Formative,Cantera,2650,2650,n/a,Hirth in Cyphers and Hirth (2008),"2,9.",128,62,66,20,0.515625,0.303030303,0.15625,,,,,,,,,,,,,,
Mexico,Morelos,Chalcatzingo,T23,18.67669444,-98.77031667,Midle Formative,Cantera,2650,2650,n/a,Hirth in Cyphers and Hirth (2008),"2,9.",502,57,445,176,0.886454183,0.395505618,0.35059761,,,,,,,,,,,,,,
Mexico,Morelos,Chalcatzingo,T24,18.67669444,-98.77031667,Midle Formative,Cantera,2650,2650,n/a,Hirth in Cyphers and Hirth (2008),"2,9.",2042,229,1813,1060,0.887855044,0.584666299,0.519098923,,,,,,,,,,,,,,
Mexico,Morelos,Chalcatzingo,T25,18.67669444,-98.77031667,Midle Formative,Barranca/Cantera,3050,2650,n/a,Hirth in Cyphers and Hirth (2008),"2,9.",469,41,428,133,0.912579957,0.310747664,0.28358209,,,,,,,,,,,,,,
Mexico,Veracruz,Tres Zapotes,N/a,18.465627,-95.440017,Middle Formative,Tres Zapotes A&B,2950,2750,n/a,Stark (2016),"Table 2, Supplemental table 2.",179,0,179,2,1,0.011173184,0.011173184,,,,,,,,,,,,,,
Mexico,Chiapas,Cuauhtemoc,N/a,14.599318,-92.227205,Middle Formative,Conchas,2950,2750,n/a,Stark (2016),"Table 2, Supplemental table 2.",2221,0,2221,12,1,0.005402972,0.005402972,,,,,,,,,,,,,,
Mexico,Chiapas,Izapa,N/a,14.913819,-92.184442,Middle Formative,Escalon,2550,2350,n/a,Stark (2016),"Table 2, Supplemental table 2.",286,0,286,Missing Data,1,n/a,n/a,,,,,,,,,,,,,,
Guatemala,Pasión drainage site,Ceibal,N/a,16.89000833,-90.10330278,Early Middle Preclassic,Real 1,2950,2800,n/a,Aoyama (2017),Table 3,n/a,n/a,9,0,na,0,n/a,,,,,,,,,,,,,,
Guatemala,Pasión drainage site,Ceibal,N/a,16.89000833,-90.10330278,Early Middle Preclassic,Real 2,2800,2725,n/a,Aoyama (2017),Table 3,n/a,n/a,58,15,na,0.25862069,n/a,,,,,,,,,,,,,,
Guatemala,Pasión drainage site,Ceibal,N/a,16.89000833,-90.10330278,Early Middle Preclassic,Real 3,2725,2650,n/a,Aoyama (2017),Table 3,n/a,n/a,220,69,na,0.313636364,n/a,,,,,,,,,,,,,,
Guatemala,Pasión drainage site,Ceibal,N/a,16.89000833,-90.10330278,Late Middle Preclassic,Escoba,2650,2300,n/a,Aoyama (2017),Supplemental Table 2,19397,13603,5794,1582,na,0.273041077,1.40765E-05,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),Vacant Space(IV/82 Pit 2),14.84409444,-89.13364444,Middle Formative,,2850,2250,,Aoyama (1999),"4.1,4.2.",2733,1188,1545,24,0.565312843,0.015533981,0.008781559,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),Vacant Space(IV/82 Pit 3),14.84104167,-89.13461111,Middle Formative,,2850,2250,,Aoyama (1999),"4.1,4.2.",35,18,17,0,0.485714286,0,0,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),"Patio A, 9N-8(IV/111)",14.83873611,-89.13519722,Middle Formative,,2850,2250,,Aoyama (1999),"4.1,4.2.",205,66,139,3,0.67804878,0.021582734,0.014634146,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),"Patio A, 9N-8(*8,20)",14.83873889,-89.13519722,Middle Formative,,2850,2250,,Aoyama (1999),"4.1,4.2.",325,57,268,16,0.824615385,0.059701493,0.049230769,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11L-15(IV/115),14.833125,-89.145075,Middle Formative,,2850,2250,,Aoyama (1999),"4.1,4.2.",17,2,15,4,0.882352941,0.266666667,0.235294118,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),"10L-18,19(IV/123)",14.83980278,-89.14470556,Middle Formative,,2850,2250,,Aoyama (1999),"4.1,4.2.",79,49,30,7,0.379746835,0.233333333,0.088607595,,,,,,,,,,,,,,
