Country,Region,Site,Zone ,Latitude (DD),Longitude (DD),Period,Phase,Start BP,End BP,Radiocarbon Dates (BP),Sourc(es),Table(s) Included,Total Chipped Stone,Total Chert ,Total Obsidian,Total Blade,Total Obstdion/Total Chipped Stone,Blade Ratio (Total Blades/Total Obsidian),Blade Ratio (Total Blades/Total Chipped Stone),,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),"Patio A, 9N-8",14.83873889,-89.13519722,Early Formative ,Rayo,3400,3280,,Aoyama (1999),3.1,84,8,76,0,0.904761905,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 204,H,18.60287778,-97.40244444,Early Formative-Middle Formative,Ajalpan,3500,2900,,Byers 1967,"1,6,8,10,12",58,43,3,2,0.051724138,0.666666667,0.034482759,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 272,J,18.03542778,-97.21886667,Early Formative-Middle Formative,Ajalpan,3500,2900,,Byers 1967,"1,6,8,12",14,10,4,4,0.285714286,1,0.285714286,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 204,G,18.60287778,-97.40244444,Early Formative-Middle Formative,Ajalpan,3500,2900,,Byers 1967,"1,6,8,10,12",67,59,1,0,0.014925373,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 204D,sub E,18.60287778,-97.40244444,Early Formative-Middle Formative,Ajalpan,3500,2900,,Byers 1967,"1,6,10",9,2,2,2,0.222222222,1,0.222222222,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 204,G^1,18.60287778,-97.40244444,Early Formative-Middle Formative,Ajalpan,3500,2900,,Byers 1967,"1,6,8,10,12",101,81,4,4,0.03960396,1,0.03960396,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 204,F,18.60287778,-97.40244444,Early Formative-Middle Formative,Ajalpan,3500,2900,,Byers 1967,"1,6,8,10,12",115,94,2,1,0.017391304,0.5,0.008695652,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 204D,E,18.60287778,-97.40244444,Early Formative-Middle Formative,Ajalpan,3500,2900,,Byers 1967,"1,6,10,12",18,8,3,4,0.166666667,1.333333333,0.222222222,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 204,F^1,18.60287778,-97.40244444,Early Formative-Middle Formative,Ajalpan,3500,2900,,Byers 1967,"1,6,8,10,12",46,31,3,2,0.065217391,0.666666667,0.043478261,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 254,C,18.38073611,-97.39075833,Early Formative-Middle Formative,Ajalpan,3500,2900,,Byers 1967,"1,6,8,12",23,22,1,1,0.043478261,1,0.043478261,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 204,E,18.60287778,-97.40244444,Early Formative-Middle Formative,Ajalpan,3500,2900,,Byers 1967,"6,12",5,3,2,0,0.4,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 204C,pit,18.60287778,-97.40244444,Early Formative-Middle Formative,Ajalpan,3500,2900,,Byers 1967,"1,6,8,10,12",22,7,5,3,0.227272727,0.6,0.136363636,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368,K^3,18.08658889,-97.12970556,Early Formative-Middle Formative,Ajalpan,3500,2900,,Byers 1967,"6,12",9,9,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368e,K^3,18.08658889,-97.12970556,Early Formative-Middle Formative,Ajalpan,3500,2900,,Byers 1967,10,4,,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368,K^2,18.08658889,-97.12970556,Early Formative-Middle Formative,Ajalpan,3500,2900,,Byers 1967,"1,6,12",26,21,5,5,0.192307692,1,0.192307692,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 368e,K^2,18.08658889,-97.12970556,Early Formative-Middle Formative,Ajalpan,3500,2900,,Byers 1967,"8,10",11,4,0,0,0,0,0,,,,,,,,,,,,,,
