Country,Region,Site,Zone ,Latitude (DD),Longitude (DD),Period,Phase,Start BP,End BP,Radiocarbon Dates (BP),Sourc(es),Table(s) Included,Total Chipped Stone,Total Chert ,Total Obsidian,Total Blade,Total Obstdion/Total Chipped Stone,Blade Ratio (Total Blades/Total Obsidian),Blade Ratio (Total Blades/Total Chipped Stone),,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,X,18.44056389,-97.21886667,Archaic,Abejas,5500,4300,n/a,Byers 1967,"1,6,8,10,12",365,217,3,2,0.008219178,0.666666667,0.005479452,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 254,D,18.38073611,-97.39075833,Archaic,Abejas,5500,4300,n/a,Byers 1967,"1,6,8,10,12",27,24,2,3,0.074074074,1.5,0.111111111,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 307,B,18.03542778,-97.09123889,Archaic,Abejas,5500,4300,n/a,Byers 1967,"1,6,8,10,12",43,38,2,1,0.046511628,0.5,0.023255814,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 272,N,18.03542778,-97.21886667,Archaic,Abejas,5500,4300,n/a,Byers 1967,"1,6,12",19,18,1,1,0.052631579,1,0.052631579,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 272,N^1,18.03542778,-97.21886667,Archaic,Abejas,5500,4300,n/a,Byers 1967,1,1,,1,1,1,1,1,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 51,C,18.44056389,-97.21886667,Archaic,Abejas,5500,4300,n/a,Byers 1967,"1,6,8,10,12",41,34,1,1,0.024390244,1,0.024390244,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,IX,18.44056389,-97.21886667,Archaic,Abejas,5500,4300,n/a,Byers 1967,"1,6,8,10,12",401,249,3,2,0.007481297,0.666666667,0.004987531,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,VIII,18.44056389,-97.21886667,Archaic,Abejas,5500,4300,n/a,Byers 1967,"1,6,8,10,12",152,102,2,1,0.013157895,0.5,0.006578947,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 272,L,18.03542778,-97.21886667,Archaic,Abejas,5500,4300,n/a,Byers 1967,"8,12",4,4,0,0,0,0,0,,,,,,,,,,,,,,
