Country,Region,Site,Zone ,Latitude (DD),Longitude (DD),Period,Phase,Start BP,End BP,Radiocarbon Dates (BP),Sourc(es),Table(s) Included,Total Chipped Stone,Total Chert ,Total Obsidian,Total Blade,Total Obstdion/Total Chipped Stone,Blade Ratio (Total Blades/Total Obsidian),Blade Ratio (Total Blades/Total Chipped Stone),,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,XXII,18.44056389,-97.21886667,Archaic,El Riego,8500,6800,n/a,Byers 1967,"1,6,8,10,12",29,25,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,XXI,18.44056389,-97.21886667,Archaic,El Riego,8500,6800,n/a,Byers 1967,"1,6,8,10,",26,15,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 255,C,18.38073611,-97.39075833,Archaic,El Riego,8500,6800,n/a,Byers 1967,"1,6,8,12",57,57,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,XX,18.44056389,-97.21886667,Archaic,El Riego,8500,6800,n/a,Byers 1967,"1,6,8,10,12",49,47,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,XIX,18.44056389,-97.21886667,Archaic,El Riego,8500,6800,n/a,Byers 1967,"1,6,8,10,12",76,71,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 307,H,18.03542778,-97.09123889,Archaic,El Riego,8500,6800,n/a,Byers 1967,"1,6,8,10,12",15,13,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,XVIII,18.44056389,-97.21886667,Archaic,El Riego,8500,6800,n/a,Byers 1967,"1,6,8,10,12",319,297,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,XVII,18.44056389,-97.21886667,Archaic,El Riego,8500,6800,n/a,Byers 1967,"1,6,8,10,12",137,129,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 272,S,18.03542778,-97.21886667,Archaic,El Riego,8500,6800,n/a,Byers 1967,"6,12",3,3,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 272,R,18.03542778,-97.21886667,Archaic,El Riego,8500,6800,n/a,Byers 1967,"6,8,10,12",6,5,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,XVI,18.44056389,-97.21886667,Archaic,El Riego,8500,6800,n/a,Byers 1967,"1,6,8,10,12",446,412,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 35w,5,18.44108889,-97.54069722,Archaic,El Riego,8500,6800,n/a,Byers 1967,"1,6,8,10,12",142,119,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 51,DE,18.44056389,-97.21886667,Archaic,El Riego,8500,6800,n/a,Byers 1967,"1,6,8,10,12",260,229,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 307,G,18.03542778,-97.09123889,Archaic,El Riego,8500,6800,n/a,Byers 1967,"1,6,8,10,12",34,29,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 307,F,18.03542778,-97.09123889,Archaic,El Riego,8500,6800,n/a,Byers 1967,"1,6,8,10,12",15,12,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,XV,18.44056389,-97.21886667,Archaic,El Riego,8500,6800,n/a,Byers 1967,"1,6,8,10,12",365,322,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,XIV,18.44056389,-97.21886667,Archaic,El Riego,8500,6800,n/a,Byers 1967,"1,6,8,10,12",441,398,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 307,E,18.03542778,-97.09123889,Archaic,El Riego,8500,6800,n/a,Byers 1967,"1,6,8,10,12",27,26,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 307,D^1D^2,18.03542778,-97.09123889,Archaic,El Riego,8500,6800,n/a,Byers 1967,"1,6,8,12",25,24,0,0,0,0,0,,,,,,,,,,,,,,
