Country,Region,Site,Zone ,Latitude (DD),Longitude (DD),Period,Phase,Start BP,End BP,Radiocarbon Dates (BP),Sourc(es),Table(s) Included,Total Chipped Stone,Total Chert ,Total Obsidian,Total Blade,Total Obstdion/Total Chipped Stone,Blade Ratio (Total Blades/Total Obsidian),Blade Ratio (Total Blades/Total Chipped Stone),,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 272,Q,18.03542778,-97.21886667,Archaic,Coxcatlan,6800,5500,n/a,Byers 1967,"6,8",3,3,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,XIII,18.44056389,-97.21886667,Archaic,Coxcatlan,6800,5500,n/a,Byers 1967,"1,6,8,10,12",180,154,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 307,D,18.03542778,-97.09123889,Archaic,Coxcatlan,6800,5500,n/a,Byers 1967,"1,6,8,10,12",15,9,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,XII,18.44056389,-97.21886667,Archaic,Coxcatlan,6800,5500,n/a,Byers 1967,"1,6,8,10,12",166,129,1,0,0.006024096,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 35w,4,18.44108889,-97.54069722,Archaic,Coxcatlan,6800,5500,n/a,Byers 1967,"1,6,8,10,12",218,162,1,1,0.004587156,1,0.004587156,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 254,E,18.38073611,-97.39075833,Archaic,Coxcatlan,6800,5500,n/a,Byers 1967,"1,6,8,12",11,11,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,XI,18.44056389,-97.21886667,Archaic,Coxcatlan,6800,5500,n/a,Byers 1967,"1,6,8,10,12",393,279,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 272,P,18.03542778,-97.21886667,Archaic,Coxcatlan,6800,5500,n/a,Byers 1967,"6,12",3,3,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 272,O,18.03542778,-97.21886667,Archaic,Coxcatlan,6800,5500,n/a,Byers 1967,"6,10",2,1,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 307,C,18.03542778,-97.09123889,Archaic,Coxcatlan,6800,5500,n/a,Byers 1967,"1,6,12",7,5,2,2,0.285714286,1,0.285714286,,,,,,,,,,,,,,
